code,units,price,date,fee
ALU,46,28.38,23/04/2021,9.5
ELD,189,12.3796,23/04/2021,9.5
CL1,99,1.65,23/04/2021,9.5
SFC,127,21.75,23/04/2021,9.5
CAT,210,2.07,23/04/2021,9.5
LFG,287,7.6,23/04/2021,9.5
BKW,105,20.6,23/04/2021,9.5
NAB,174,26.43,23/04/2021,9.5
DOW,355,5.6292,6/05/2021,9.5
DSK,559,3.53,6/05/2021,9.5
CASH_FLOW,,20000,22/04/2021,
DIVIDEND,,37.8,18/06/2021,
DIVIDEND,,68.88,31/08/2021,
DIVIDEND,,104.4,2/07/2021,
