code,units,price,date,fee
A200,168,119.04,23/04/2021,9.5
A200,3,128.2,6/09/2021,9.5
CASH_FLOW,,20000,22/04/2021,
CASH_FLOW,,400,6/09/2021,
DIVIDEND,,95,16/07/2021,
