code,units,price,date,fee
NDQ,676,29.54,23/04/2021,9.5
NDQ,35,33.66,6/09/2021,9.5
CASH_FLOW,,20000,22/04/2021,
CASH_FLOW,,400,6/09/2021,
DIVIDEND,,792.09,16/07/2021,
