code,units,price,date,fee
RKN,1791,0.8,23/04/2021,9.5
IAG,374,4.66,23/04/2021,9.5
LFG,244,7.6,23/04/2021,9.5
NAB,71,26.43,23/04/2021,9.5
BKW,96,20.6,23/04/2021,9.5
ELD,162,12.3796,23/04/2021,9.5
SFC,113,21.75,23/04/2021,9.5
SHL,70,37.03,23/04/2021,9.5
DOW,355,5.6292,6/05/2021,9.5
DSK,559,3.53,6/05/2021,9.5
CASH_FLOW,,20000,22/04/2021,
DIVIDEND,,32.4,18/06/2021,
DIVIDEND,,58.56,31/08/2021,
DIVIDEND,,42.6,2/07/2021,
